1.880836182617901068e-05,-8.693780404165842197e-04,3.545031063379194131e-02,-5.713805907262690248e-02
1.573940557991967835e-05,-6.576837730747310193e-04,3.100924038405719271e-02,-5.590260951007002682e-02
1.160463536295097319e-05,-3.474628441189633009e-04,2.320452248186442856e-02,-3.009019990097786673e-02
8.977022906188146834e-06,-1.774459852279443729e-04,1.828732275655886239e-02,-9.709716371283679329e-03
7.158551638143728429e-06,-1.192117748067640572e-04,1.676666502429133634e-02,-9.365226271351103846e-03
6.160664103368677084e-06,-1.581371394496970770e-04,1.752841653174041364e-02,-1.467434476184934812e-02
4.031003672180358523e-06,-8.881682249277883881e-05,1.614348586769250027e-02,-3.882485311305602232e-02
3.136208725628267555e-06,-9.864106469256660420e-05,1.368118622032656918e-02,-1.382186942831576011e-02
2.583208906491234862e-07,1.218921149370513632e-04,4.789341052280344027e-03,1.846318484408032701e-02

